Site_Reference,Site_Name,Location,Court_name
Amersh,Amersham,Amersham,Not found
Aylsby,Aylesbury,Aylesbury,Aylesbury Crown Court
Barry,Barry,Barry,Not found
Basild,Basildon,Basildon,Basildon Combined Court
Birmhm,Birmingham,Birmingham,Birmingham Crown Court & Annex
BirmCF,Birmingham (Civil and Family),Birmingham,Not found
Blackf,Blackfriars,Blackfriars,Not found
Bolton,Bolton,Bolton,Bolton Combined Court
Bourne,Bournemouth,Bournemouth,Not found
Bradfd,Bradford,Bradford,Bradford Crown Court
Bright,Brighton,Brighton,Not found
Bristl,Bristol,Bristol,Bristol Crown Court
Burnl,Burnley,Burnley,Burnley Combined Court Centre
Caern,Caernarfon,Caernarfon,Caernarfon Justice Centre
Cambri,Cambridge,Cambridge,Cambridge Crown Court
Canter,Canterbury,Canterbury,Canterbury Combined Court
Cardif,Cardiff,Cardiff,Cardiff Crown Court
Carlil,Carlisle,Carlisle,Carlisle Combined Court Centre
Centrl,Central Criminal Court (Old Bailey),London,Inner London Sessions House Crown Court
Chelms,Chelmsford,Chelmsford,Chelmsford Crown Court
Chestr,Chester,Chester,Chester Crown Court
Chich,Chichester,Chichester,Not found
Covent,Coventry,Coventry,Coventry Combined Court Centre
Croydn,Croydon,Croydon,Croydon Crown Court
Derby,Derby,Derby,Derby Combined Centre
Doncas,Doncaster,Doncaster,Doncaster Crown Court (Doncaster Justice Centre South)
Durha,Durham,Durham,Durham Crown Court
DurPol,Durham Police,Durham Police,Durham Crown Court
Exeter,Exeter,Exeter,Exeter Combined Court Centre
Gloucs,Gloucester,Gloucester,Gloucester Crown Court
GtGrim,Great Grimsby,Great Grimsby,Grimsby Combined Court Centre
Guildf,Guildford,Guildford,Guildford Crown Court
Harrow,Harrow,Harrow,Harrow Crown Court
HattnX,Hatton Cross London,Hatton Cross,Not found
Herefd,Hereford,Hereford,Hereford Crown Court
Hove,Hove,Hove,Not found
InLond,Inner London,Inner London,Inner London Sessions House Crown Court
Ipswch,Ipswich,Ipswich,Ipswich Crown Court
Islwth,Isleworth,Isleworth,Isleworth Crown Court
KingsL,Kings Lynn,Kings Lynn,King's Lynn Crown Court
KingUT,Kingston-U-Thames,Kingston,Kingston-upon-Thames Crown Court
Hull,Kingston-U-Hull,Hull,Kingston-upon-Hull Combined Court Centre
Leeds,Leeds,Leeds,Leeds Combined Court Centre
Leics,Leicester,Leicester,Leicester Crown Court
Lewes,Lewes,Lewes,Lewes Combined Court
Lincln,Lincoln,Lincoln,Lincoln Crown Court
Livrpl,Liverpool,Liverpool,Liverpool QEII Law Courts: Liverpool Crown Court
LivrCF,Liverpool (Civil and Family),Liverpool,Liverpool QEII Law Courts: Liverpool Crown Court
LivrY,Liverpool Youth,Liverpool,Liverpool QEII Law Courts: Liverpool Crown Court
Luton,Luton,Luton,Luton Crown Court
Maidst,Maidstone,Maidstone,Maidstone Combined Court Centre
ManCrn,Manchester Crown Sq,Manchester,Manchester Crown Court (Crown Square)
ManMin,Manchester Minshull,Manchester,Manchester Crown Court (Minshull Street)
Merthy,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil Crown Court
Mold,Mold,Mold,Mold Justice Centre (Mold Law Courts)
Newcst,Newcastle,Newcastle,Newcastle Moot Hall Annex
Newprt,Newport Gwent,Newport,Newport (South Wales) Crown Court
IOW,Newport IOW,Isle of White,Newport (South Wales) Crown Court
Norton,Northampton,Northampton,Northampton Combined Court
Norwch,Norwich,Norwich,Norwich Combined Court Centre
Notts,Nottingham,Nottingham,Nottingham County Court & Family Court Crown Court
Oxford,Oxford,Oxford,Oxford Combined Court Centre
Peterb,Peterborough,Peterborough,Peterborough Combined Court Centre
Plymth,Plymouth,Plymouth,Plymouth Combined Court
Portsm,Portsmouth,Portsmouth,Portsmouth Combined Court Centre
Prestn,Preston,Preston,Preston Combined Court Centre (Sessions House Annex)
Readng,Reading,Reading,Reading Crown Court
RCJ,Royal Courts of Justice,London,Not found
Salis,Salisbury,Salisbury,Salisbury Law Courts
Sheffd,Sheffield,Sheffield,Sheffield Combined Court Centre
Shrews,Shrewsbury,Shrewsbury,Shrewsbury Crown Court
Snares,Snaresbrook,Snaresbrook,Snaresbrook Crown Court
Soton,Southampton,Southampton,Southampton Combined Court Centre
Souend,Southend,Southend,Not found
Southk,Southwark,Southwark,Southwark Crown Court
StAlba,St Albans,St Albans,St. Albans Crown Court
Staffs,Stafford,Stafford,Stafford Combined Crown Court
Stoke,Stoke on Trent,Stoke-on-Trent,Stoke-on-Trent Crown Court
Swanse,Swansea,Swansea,Swansea Crown Court
Swindn,Swindon,Swindon,Swindon Combined Court
Tauntn,Taunton Crown & County,Taunton,Taunton Combined Court
Teesde,Teeside,Teeside,Teesside Combined Court Centre
Telford,Telford,Telford,Not found
Truro,Truro,Truro,Truro Combined Court
Warton,Warrington,Warrington,Warrington Crown Court
Warwick,Warwick,Warwick,Warwickshire (South) Justice Centre
Winch,Winchester,Winchester,Winchester Combined Court Centre
Wolver,Wolverhampton,Wolverhampton,Wolverhampton Crown Court
WoodGn,Wood Green,Wood Green,Wood Green Crown Court
Woolch,Woolwich,Woolwich,Woolwich Crown Court
Worcs,Worcester,Worcester,Worcester Combined Court
York,York,York,York Crown Court
